map_id,version_choose
campaign_02_01,5
campaign_02_02,5
campaign_02_02-sub,5
campaign_02_03,5
campaign_02_04,5
campaign_02_04-sub1,5
campaign_02_04-sub2,5
campaign_02_05,5
campaign_02_06,5
campaign_02_07,5
campaign_02_07-sub,5
campaign_02_08,5
campaign_03_01,5
campaign_03_01_sub,5
campaign_03_02,5
campaign_03_02_sub,5
campaign_03_03,5
campaign_03_03_sub1,5
campaign_03_03_sub2,5
campaign_03_03_sub3,5
campaign_03_04,5
campaign_03_05,5
campaign_03_05_sub1,5
campaign_03_05_sub2,5
campaign_03_06,5
campaign_03_06_sub1,5
campaign_03_06_sub2,5
campaign_03_07,5
campaign_03_08,5
demo_mainmenu_10,5
demo_singleplayer_02,5
multiplayer_02_06_ressourcen,5
multiplayer_101_special_coop,5
multiplayer_102_special_coop,5
multiplayer_103_special_militär,5
multiplayer_104_militär,5
multiplayer_105_militaer,5
multiplayer_105_ressourcen,5
multiplayer_201_special_coop,5
multiplayer_202_special_millitär,5
multiplayer_203_special_militär,5
multiplayer_204_special_cap-the-flag,5
multiplayer_205_special_cap-the-cow,5
singleplayer_02_01,5
singleplayer_02_01-sub1,5
singleplayer_02_01-sub2,5
singleplayer_02_01-sub3,5
singleplayer_02_01-sub4,5
singleplayer_02_01-sub5,5
singleplayer_02_02,5
singleplayer_02_03,5
singleplayer_02_03-sub1,5
singleplayer_02_03-sub2,5
singleplayer_02_03-sub3,5
singleplayer_02_04,5
singleplayer_02_05,5
singleplayer_02_06,5
singleplayer_02_07,5
singleplayer_03_01,5
singleplayer_03_01-sub1,5
singleplayer_03_02,5
singleplayer_03_03,5
singleplayer_03_04,5
singleplayer_03_05,5
tutorial_001,5
tutorial_002,5
tutorial_003,5
tutorial_004,5
tutorial_005,5
tutorial_006,5
tutorial_007,5
_campaign_04_01,5
_campaign_04_01_sub1,5
_campaign_04_01_sub2,5
_campaign_04_01_sub3,5
_campaign_04_02,5
_campaign_04_02_sub1,5
_campaign_04_02_sub2,5
_campaign_04_03,5
_campaign_04_03_sub1,5
_campaign_04_04,5
_campaign_04_04_sub1,5
_campaign_04_04_sub2,5
_campaign_04_05,5
_campaign_04_05_sub1,5
campaign_01_01,2
campaign_01_02,2
campaign_01_02-sub,2
campaign_01_03,2
campaign_01_04,2
campaign_01_04-sub,2
campaign_01_05,2
campaign_01_05-sub,2
campaign_01_06,2
campaign_01_07,2
campaign_01_08,2
campaign_01_09,2
campaign_01_09-sub,2
campaign_01_10,2
campaign_01_10-sub,2
campaign_01_11,2
demo_mainmenu_00,2
demo_mainmenu_01,2
demo_mainmenu_02,2
demo_mainmenu_03,2
multiplayer_001_militär,2
multiplayer_001_ressourcen,2
multiplayer_002_militär,2
multiplayer_002_ressourcen,2
multiplayer_003_militär,2
multiplayer_003_ressourcen,2
multiplayer_004_militär,2
multiplayer_004_ressourcen,2
multiplayer_004_special_cap-the-cow,2
multiplayer_005_militär,2
multiplayer_005_ressourcen,2
multiplayer_005_special_cap-the-flag,2
multiplayer_007_millitär,2
multiplayer_007_ressourcen,2
multiplayer_007_special_coop,2
multiplayer_008_militär,2
multiplayer_008_ressourcen,2
multiplayer_009_militär,2
singleplayer_01_01,2
singleplayer_01_04,2
singleplayer_01_05,2
singleplayer_01_06,2
singleplayer_01_07,2
singleplayer_01_08,2
singleplayer_01_09,2
singleplayer_01_10,2
weinachten_2002,3
